word_id,word,word_length,possible_answer
1,aahed,5,1
2,aalii,5,1
3,aargh,5,1
4,aarti,5,1
5,abaca,5,1
6,abaci,5,1
7,abacs,5,1
8,abaft,5,1
9,abaka,5,1
10,abamp,5,1
11,aband,5,1
12,abash,5,1
13,abask,5,1
14,abaya,5,1
15,abbas,5,1
16,abbed,5,1
17,abbes,5,1
18,abcee,5,1
19,abeam,5,1
20,abear,5,1
21,abele,5,1
22,abers,5,1
23,abets,5,1
24,abies,5,1
25,abler,5,1
26,ables,5,1
27,ablet,5,1
28,ablow,5,1
29,abmho,5,1
30,abohm,5,1
31,aboil,5,1
32,aboma,5,1
33,aboon,5,1
34,abord,5,1
35,abore,5,1
36,abram,5,1
37,abray,5,1
38,abrim,5,1
39,abrin,5,1
40,abris,5,1
41,absey,5,1
42,absit,5,1
43,abuna,5,1
44,abune,5,1
45,abuts,5,1
46,abuzz,5,1
47,abyes,5,1
48,abysm,5,1
49,acais,5,1
50,acari,5,1
51,accas,5,1
52,accoy,5,1
53,acerb,5,1
54,acers,5,1
55,aceta,5,1
56,achar,5,1
57,ached,5,1
58,aches,5,1
59,achoo,5,1
60,acids,5,1
61,acidy,5,1
62,acing,5,1
63,acini,5,1
64,ackee,5,1
65,acker,5,1
66,acmes,5,1
67,acmic,5,1
68,acned,5,1
69,acnes,5,1
70,acock,5,1
71,acold,5,1
72,acred,5,1
73,acres,5,1
74,acros,5,1
75,acted,5,1
76,actin,5,1
77,acton,5,1
78,acyls,5,1
79,adaws,5,1
80,adays,5,1
81,adbot,5,1
82,addax,5,1
83,added,5,1
84,adder,5,1
85,addio,5,1
86,addle,5,1
87,adeem,5,1
88,adhan,5,1
89,adieu,5,1
90,adios,5,1
91,adits,5,1
92,adman,5,1
93,admen,5,1
94,admix,5,1
95,adobo,5,1
96,adown,5,1
97,adoze,5,1
98,adrad,5,1
99,adred,5,1
100,adsum,5,1
101,aduki,5,1
102,adunc,5,1
103,adust,5,1
104,advew,5,1
105,adyta,5,1
106,adzed,5,1
107,adzes,5,1
108,aecia,5,1
109,aedes,5,1
110,aegis,5,1
111,aeons,5,1
112,aerie,5,1
113,aeros,5,1
114,aesir,5,1
115,afald,5,1
116,afara,5,1
117,afars,5,1
118,afear,5,1
119,aflaj,5,1
120,afore,5,1
121,afrit,5,1
122,afros,5,1
123,agama,5,1
124,agami,5,1
125,agars,5,1
126,agast,5,1
127,agave,5,1
128,agaze,5,1
129,agene,5,1
130,agers,5,1
131,agger,5,1
132,aggie,5,1
133,aggri,5,1
134,aggro,5,1
135,aggry,5,1
136,aghas,5,1
137,agila,5,1
138,agios,5,1
139,agism,5,1
140,agist,5,1
141,agita,5,1
142,aglee,5,1
143,aglet,5,1
144,agley,5,1
145,agloo,5,1
146,aglus,5,1
147,agmas,5,1
148,agoge,5,1
149,agone,5,1
150,agons,5,1
151,agood,5,1
152,agria,5,1
153,agrin,5,1
154,agros,5,1
155,agued,5,1
156,agues,5,1
157,aguna,5,1
158,aguti,5,1
159,aheap,5,1
160,ahent,5,1
161,ahigh,5,1
162,ahind,5,1
163,ahing,5,1
164,ahint,5,1
165,ahold,5,1
166,ahull,5,1
167,ahuru,5,1
168,aidas,5,1
169,aided,5,1
170,aides,5,1
171,aidoi,5,1
172,aidos,5,1
173,aiery,5,1
174,aigas,5,1
175,aight,5,1
176,ailed,5,1
177,aimed,5,1
178,aimer,5,1
179,ainee,5,1
180,ainga,5,1
181,aioli,5,1
182,aired,5,1
183,airer,5,1
184,airns,5,1
185,airth,5,1
186,airts,5,1
187,aitch,5,1
188,aitus,5,1
189,aiver,5,1
190,aiyee,5,1
191,aizle,5,1
192,ajies,5,1
193,ajiva,5,1
194,ajuga,5,1
195,ajwan,5,1
196,akees,5,1
197,akela,5,1
198,akene,5,1
199,aking,5,1
200,akita,5,1
201,akkas,5,1
202,alaap,5,1
203,alack,5,1
204,alamo,5,1
205,aland,5,1
206,alane,5,1
207,alang,5,1
208,alans,5,1
209,alant,5,1
210,alapa,5,1
211,alaps,5,1
212,alary,5,1
213,alate,5,1
214,alays,5,1
215,albas,5,1
216,albee,5,1
217,alcid,5,1
218,alcos,5,1
219,aldea,5,1
220,alder,5,1
221,aldol,5,1
222,aleck,5,1
223,alecs,5,1
224,alefs,5,1
225,aleft,5,1
226,aleph,5,1
227,alews,5,1
228,aleye,5,1
229,alfas,5,1
230,algal,5,1
231,algas,5,1
232,algid,5,1
233,algin,5,1
234,algor,5,1
235,algum,5,1
236,alias,5,1
237,alifs,5,1
238,aline,5,1
239,alist,5,1
240,aliya,5,1
241,alkie,5,1
242,alkos,5,1
243,alkyd,5,1
244,alkyl,5,1
245,allee,5,1
246,allel,5,1
247,allis,5,1
248,allod,5,1
249,allyl,5,1
250,almah,5,1
251,almas,5,1
252,almeh,5,1
253,almes,5,1
254,almud,5,1
255,almug,5,1
256,alods,5,1
257,aloed,5,1
258,aloes,5,1
259,aloha,5,1
260,aloin,5,1
261,aloos,5,1
262,alowe,5,1
263,altho,5,1
264,altos,5,1
265,alula,5,1
266,alums,5,1
267,alure,5,1
268,alvar,5,1
269,alway,5,1
270,amahs,5,1
271,amain,5,1
272,amate,5,1
273,amaut,5,1
274,amban,5,1
275,ambit,5,1
276,ambos,5,1
277,ambry,5,1
278,ameba,5,1
279,ameer,5,1
280,amene,5,1
281,amens,5,1
282,ament,5,1
283,amias,5,1
284,amice,5,1
285,amici,5,1
286,amide,5,1
287,amido,5,1
288,amids,5,1
289,amies,5,1
290,amiga,5,1
291,amigo,5,1
292,amine,5,1
293,amino,5,1
294,amins,5,1
295,amirs,5,1
296,amlas,5,1
297,amman,5,1
298,ammon,5,1
299,ammos,5,1
300,amnia,5,1
301,amnic,5,1
302,amnio,5,1
303,amoks,5,1
304,amole,5,1
305,amort,5,1
306,amour,5,1
307,amove,5,1
308,amowt,5,1
309,amped,5,1
310,ampul,5,1
311,amrit,5,1
312,amuck,5,1
313,amyls,5,1
314,anana,5,1
315,anata,5,1
316,ancho,5,1
